ID,cc_cons,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,loan_enq,emi_active,account_type,gender,age,Income,Emp_Tenure_Years,Tenure_with_Bank,region_code,NetBanking_Flag,Avg_days_between_transaction,total_spend_credit_cc,total_spend_debit_cc,total_count_credit_trans,total_count_debit_trans,total_investment,total_sum_debited_amount,total_sum_credited_amount,total_count_debited_counts,total_count_credited_counts,total_max_credited_amount
17591,,125000,1,1,1.0,1,Y,1170.49,current,M,37.0,MEDIUM,11.9,4,4,575,1,18082.6,17445.5,18.0,109.0,372531.80977,81687.39,117367.0,48.0,63.0,60180.92
13541,,59000,1,1,1.0,1,Y,16447.45,current,M,33.0,MEDIUM,7.800000000000001,6,6,394,0,42022.630000000005,5059.92,17.0,119.0,608128.25,61639.520000000004,168827.0,121.0,54.0,32556.0
13431,,49999,1,1,1.0,1,Y,2622.28,current,M,53.0,LOW,33.0,10,10,324,1,9397.29,11088.220000000001,42.0,53.0,784324.7999999999,229331.16,110578.04000000001,85.0,53.0,64563.0
8687,,520000,1,1,1.0,1,Y,340.79,current,M,33.0,MEDIUM,7.800000000000001,5,5,370,1,41129.759999999995,38577.0,171.0,17.0,490487.35,232701.25,200751.13,51.0,25.0,314811.125
14727,,152000,1,1,1.0,1,Y,2812.2,current,M,62.0,LOW,12.600000000000001,9,9,505,1,9800.88,11351.77,59.0,31.0,1254543.3399999999,218322.75,82559.0,121.0,77.0,84775.0
14988,,276000,1,1,1.0,1,Y,291.16,saving,M,30.0,LOW,8.0,7,7,454,1,52061.25,6392.0,60.0,96.0,1254543.3399999999,152286.19,122479.75,76.0,17.0,75491.0
14859,,39000,1,1,1.0,1,Y,4786.4,current,M,33.0,MEDIUM,9.1,2,2,796,0,109024.28999999998,23301.0,66.0,41.0,222970.64,121407.75,188372.16,63.0,8.0,174207.0
16636,,393000,1,1,1.0,1,Y,8186.99,current,M,83.0,LOW,37.349999999999994,3,3,575,1,37481.34,9734.49,252.5,22.0,124969.5,102917.34,138831.01,147.0,44.0,233706.0
7625,,381000,1,1,1.0,1,Y,54632.6,saving,M,37.0,MEDIUM,11.9,4,4,623,1,19273.0,6882.4400000000005,44.0,20.0,676247.25,66995.82,77877.0,102.0,86.0,136417.0
16492,,87000,1,1,1.0,1,Y,3796.29,current,M,34.0,MEDIUM,11.200000000000001,1,1,123,1,13788.839999999998,13678.08,24.0,4.0,120027.8,231069.43,392715.0,19.0,84.0,154664.0
13674,,650000,1,1,1.0,1,Y,174.94,saving,F,33.0,MEDIUM,2.6,2,2,613,0,36416.06,3563.0299999999997,128.0,22.0,77056.9191,243021.95,369787.67,125.0,33.0,63581.0
11981,,136000,1,1,1.0,1,Y,1432.88,current,M,29.0,LOW,8.1,3,3,249,0,14543.050000000001,28036.100000000002,148.0,60.0,123421.0,178312.47999999998,229598.97000000003,175.0,98.0,62170.29
5185,,17000,1,1,1.0,1,Y,2824.15,current,M,35.0,MEDIUM,13.5,2,2,516,0,25508.34,23606.0,252.5,122.0,124648.15,260800.09,77251.97,104.0,120.0,146034.0
15288,,263000,1,1,1.0,1,Y,6922.52,current,M,34.0,MEDIUM,11.200000000000001,8,8,583,0,7911.225,14718.07,193.0,43.0,147502.93,238247.27,98369.38,169.0,61.0,83257.87
18526,,267000,1,1,1.0,1,Y,10337.52,current,M,60.0,MEDIUM,16.0,7,7,574,0,33820.479999999996,10363.63,69.0,82.0,194162.4,61245.13,125341.38,196.0,14.0,314811.125
16760,,378000,1,1,1.0,1,Y,1893.92,current,M,38.0,MEDIUM,1.8,2,2,595,1,25628.74,27207.6,112.0,102.0,44029.75,95115.0,136241.34,36.0,73.0,54076.0
10805,,579000,1,1,1.0,1,Y,1327.55,current,M,47.0,MEDIUM,21.6,5,5,355,1,103951.72,7223.85,88.0,17.0,413278.88,239139.36,306380.0,114.0,122.5,314811.125
